N,x,h1,h2,h3,h4,h5
193, 501.772980, 56.166397, 74.791527, 59.658607, 122.227394, 126.301636
194, 504.372833, 56.651424, 74.403496, 55.293343, 115.436981, 119.317215
195, 506.972687, 55.584362, 72.463379, 51.413109, 107.094475, 110.101662
196, 509.572540, 53.838257, 69.553207, 48.211914, 97.878922, 99.819038
197, 512.172424, 51.704128, 65.963989, 45.010723, 88.081329, 89.245399
198, 514.772278, 50.346046, 63.926865, 44.428688, 78.477745, 79.835831
199, 517.372131, 49.764011, 63.926865, 45.980782, 69.456200, 72.075356
200, 519.971985, 50.540058, 64.702911, 48.793949, 60.628666, 65.381950
201, 522.571838, 52.092152, 64.799919, 51.219097, 53.547237, 58.106514
202, 525.171692, 54.323284, 63.441837, 51.995144, 48.308922, 51.510117
203, 527.771545, 57.330467, 60.628666, 51.995144, 46.562817, 46.562817
204, 530.371460, 58.882561, 56.360409, 51.413109, 47.532875, 44.040665
205, 532.971313, 59.367592, 51.316105, 51.510117, 51.995144, 42.585575
206, 535.571167, 57.815495, 46.465809, 53.159214, 59.755615, 41.518513
207, 538.171021, 55.972385, 42.488571, 55.875378, 70.523262, 40.451447
208, 540.770874, 53.741249, 38.802345, 59.076572, 82.454987, 39.675400
209, 543.370728, 51.025085, 36.377201, 62.374771, 92.834618, 39.384380
210, 545.970581, 48.599937, 34.728100, 65.478958, 100.013046, 39.578392
211, 548.570435, 46.368805, 34.922112, 70.038239, 104.960350, 40.451447
212, 551.170288, 45.010723, 36.474205, 75.082542, 108.743576, 42.197552
213, 553.770142, 44.525692, 39.190369, 81.096901, 112.138779, 44.137669
214, 556.370056, 45.786770, 43.070606, 86.529236, 113.981895, 45.495750
215, 558.969910, 48.114910, 47.047844, 90.700485, 112.914825, 45.689762
216, 561.569763, 50.637062, 51.219097, 93.319641, 108.452560, 45.301739
217, 564.169617, 52.771191, 56.166397, 94.871735, 103.020233, 45.301739
218, 566.769470, 53.935261, 62.568783, 96.132813, 98.751968, 46.756828
219, 569.369324, 55.487354, 69.359192, 96.423828, 96.908859, 51.025085
220, 571.969177, 56.942444, 74.306496, 94.580719, 95.356766, 56.942444
221, 574.569031, 56.942444, 74.306496, 89.924438, 92.058571, 63.441837
222, 577.168884, 53.353226, 69.553207, 83.231033, 87.402283, 69.068176
223, 579.768799, 46.174793, 61.501720, 75.858589, 82.746002, 75.567574
224, 582.368652, 37.929295, 54.129272, 69.553207, 79.156784, 82.940018
225, 584.968506, 30.362837, 48.793949, 65.381950, 74.985535, 90.409470
226, 587.568359, 24.833502, 45.980782, 62.859802, 70.038239, 96.132813
227, 590.168213, 20.468237, 43.458630, 61.598724, 64.120880, 99.528023
228, 592.768066, 17.752073, 40.548450, 59.949627, 59.755615, 100.013046
229, 595.367920, 15.714951, 37.638275, 58.494537, 57.330467, 98.557961
230, 597.967773, 15.714951, 36.377201, 57.330467, 55.487354, 95.841797
231, 600.567627, 16.685009, 36.959236, 56.845436, 51.898140, 93.901680
232, 603.167480, 19.692190, 39.384380, 55.875378, 45.980782, 91.573540
233, 605.767395, 23.475420, 42.003540, 53.935261, 39.190369, 88.663361
234, 608.367249, 27.646671, 44.622700, 51.025085, 32.884987, 84.007080
235, 610.967102, 31.429901, 45.495750, 46.853832, 27.743677, 77.701698
236, 613.566956, 34.534088, 45.786770, 42.391563, 23.087397, 69.747215
237, 616.166809, 36.086182, 45.398746, 37.541271, 18.431114, 60.725674
238, 618.766663, 35.989178, 45.010723, 33.564030, 13.871839, 51.801132
239, 621.366516, 33.855049, 43.458630, 30.459843, 10.088610, 42.876595
240, 623.966370, 30.459843, 40.742462, 28.325712, 7.469452, 34.049061
241, 626.566223, 26.288589, 36.571213, 26.967630, 5.820352, 25.803560
242, 629.166138, 22.020332, 31.332895, 25.318531, 4.850293, 18.722132
243, 631.765991, 18.237103, 25.900566, 22.796379, 4.850293, 13.483815
244, 634.365845, 14.938904, 20.662249, 19.207161, 5.529335, 9.603580
245, 636.965698, 12.804774, 16.685009, 15.326927, 6.402387, 7.178434
246, 639.565552, 11.349687, 12.901780, 12.028728, 6.790411, 5.626340
247, 642.165405, 10.282621, 9.700586, 9.603580, 7.275440, 4.753287
248, 644.765259, 8.924540, 6.499393, 8.051487, 7.857475, 4.171252
249, 647.365112, 7.469452, 4.365264, 6.596399, 8.439510, 4.171252
250, 649.964966, 6.402387, 2.910176, 5.529335, 8.633522, 4.462270
251, 652.564819, 5.917358, 2.522152, 4.462270, 8.051487, 5.044305
252, 655.164734, 5.820352, 2.328141, 3.686223, 7.469452, 6.111370
253, 657.764587, 5.723346, 2.328141, 2.910176, 6.790411, 6.887416
254, 660.364441, 5.723346, 2.328141, 2.522152, 6.596399, 8.051487
255, 662.964294, 5.529335, 2.910176, 2.328141, 6.402387, 9.021545
256, 665.564148, 5.238317, 3.589217, 2.425147, 6.402387, 10.476634
257, 668.164001, 4.850293, 4.074246, 2.910176, 6.305381, 11.737710
258, 670.763855, 4.656281, 4.171252, 3.686223, 6.111370, 13.192798
259, 673.363708, 4.462270, 4.268258, 4.947299, 6.111370, 14.259862
260, 675.963562, 4.656281, 4.656281, 5.917358, 6.499393, 14.744892
261, 678.563477, 5.044305, 5.044305, 7.372446, 7.372446, 14.356868
262, 681.163330, 5.820352, 5.820352, 8.730528, 8.148493, 12.901780
263, 683.763184, 6.499393, 6.208375, 10.185616, 8.730528, 10.961663
264, 686.363037, 7.275440, 6.402387, 10.670646, 8.536516, 8.633522
265, 688.962891, 7.663464, 6.111370, 10.282621, 7.857475, 6.305381
266, 691.562744, 8.439510, 6.014364, 9.215557, 6.790411, 4.074246
267, 694.162598, 8.730528, 5.820352, 7.954481, 5.626340, 2.231135
268, 696.762451, 9.312563, 5.917358, 6.790411, 4.850293, 1.358082
269, 699.362305, 9.312563, 5.626340, 5.529335, 4.268258, 1.164070
270, 701.962158, 9.312563, 5.044305, 3.977241, 4.171252, 1.358082
271, 704.562073, 8.924540, 3.977241, 2.716164, 4.074246, 1.358082
272, 707.161926, 8.536516, 3.007182, 1.843112, 4.171252, 1.552094
273, 709.761780, 7.954481, 2.134129, 1.552094, 4.171252, 1.843112
